Chinese,Pinyin
话题,huàtí
欢乐,huānlè
环,huán
环保,huán bǎo
环境,huánjìng
会议,huìyì
会员,huì yuán
活,huó
火,huǒ
机器,jīqì
积极,jījí
基本,jīběn
基本上,jī běn shàng
基础,jīchǔ
及时,jíshí
…极了,… jí le
集体,jítǐ
集中,jízhōng
计算,jìsuàn
记录,jìlù
记者,jìzhě
纪录,jìlù
纪念,jìniàn
技术,jìshù
继续,jìxù
加工,jiāgōng
加快,jiā kuài
加强,jiā qiáng
家具,jiājù
家属,jiāshǔ
家乡,jiāxiāng
价格,jiàgé
价钱,jià qián
价值,jiàzhí
架,jià
坚持,jiānchí
坚决,jiānjué
坚强,jiānqiáng
简单,jiǎndān
简直,jiǎnzhí
建,jiàn
建成,jiàn chéng
建立,jiànlì
建设,jiànshè
建议,jiànyì
将近,jiāngjìn
将来,jiānglái
交费,jiāo fèi
交警,jiāo jǐng
交流,jiāoliú
交往,jiāowǎng
交易,jiāoyì
叫,jiào
较,jiào
教材,jiàocái
教练,jiàoliàn
结实,jiēshi
接待,jiēdài
接近,jiējìn
节约,jiéyuē
结合,jiéhé
结婚,jiéhūn
结束,jiéshù
解决,jiějué
解开,jiě kāi
金,jīn
金牌,jīn pái
仅,jǐn
仅仅,jǐn jǐn
尽量,jǐnliàng
紧,jǐn
紧急,jǐnjí
紧张,jǐnzhāng
进步,jìnbù
进一步,jìn yí bù
进展,jìnzhǎn
近期,jìn qī
京剧,jīngjù
经济,jīngjì
经历,jīnglì
经验,jīngyàn
经营,jīngyíng
精彩,jīngcǎi
精神,jīngshén
精神,jīngshen
景色,jǐngsè
警察,jǐngchá
静,jìng
久,jiǔ
旧,jiù
救,jiù
就是,jiù shì
就业,jiùyè
举办,jǔbàn
具体,jùtǐ
具有,jù yǒu
剧场,jù chǎng
据说,jùshuō
决定,juédìng
决赛,juésài
决心,juéxīn
绝对,juéduì
咖啡,kāfēi
开发,kāifā
开放,kāifàng
开始,kāishǐ
开业,kāi yè
开展,kāizhǎn
看起来,kàn qǐ lái
看上去,kàn shàng qù
考验,kǎoyàn
科技,kē jì
可靠,kěkào
可乐,kě lè
克服,kèfú
客观,kèguān
课程,kèchéng
空,kōng
空调,kōngtiáo
恐怕,kǒngpà
空儿,kòngr
裤子,kùzi
快速,kuài sù
困,kùn
困难,kùnnán
浪费,làngfèi
老百姓,lǎobǎixìng
老板,lǎobǎn
老太太,lǎo tài tai
老头儿,lǎo tóur
乐,lè
乐观,lèguān
类,lèi
类似,lèisì
离婚,líhūn
里面,lǐ miàn
理发,lǐfà
理解,lǐjiě
理论,lǐlùn
理由,lǐyóu
力,lì
力量,lìliàng
立刻,lìkè
利用,lìyòng
连,lián
连忙,liánmáng
连续,liánxù
连续剧,lián xù jù
联合,liánhé
联合国,lián hé guó
联系,liánxì
凉水,liáng shuǐ
了,le
领,lǐng
领导,lǐngdǎo
领先,lǐngxiān
另外,lìngwài
另一方面,lìng yì fāng miàn
留学,liúxué
龙,lóng
录,lù
录音,lùyīn
路线,lù xiàn
旅馆,lǚ guǎn
旅行社,lǚ xíng shè
绿茶,lǜ chá
乱,luàn
落后,luòhòu
麻烦,máfan
马,mǎ
满足,mǎnzú
慢慢,màn màn
毛,máo
毛病,máobìng
没用,méi yòng
媒体,méitǐ
每,měi
美,měi
美好,měi hǎo
美丽,měilì
美食,měi shí
美术,měishù
美元,měi yuán
迷,mí
米,mǐ
面对,miànduì
面积,miànjī
民间,mínjiān
民族,mínzú
明确,míngquè
明显,míngxiǎn
命运,mìngyùn
某,mǒu
母亲,mǔqīn
木头,mùtou
目标,mùbiāo
目前,mùqián
奶茶,nǎi chá
男子,nán zǐ
南部,nán bù
难道,nándào
难度,nán dù
内,nèi
内容,nèiróng
内心,nèi xīn
能不能,néng bù néng
能力,nénglì
年初,nián chū
年代,niándài
年底,nián dǐ
年纪,niánjì
念,niàn
牛,niú
农村,nóngcūn
农民,nóngmín
农业,nóngyè
女子,nǚ zǐ
暖和,nuǎnhuo
怕,pà
拍,pāi
排,pái
排名,pái míng
牌子,pái zi
派,pài
判断,pànduàn
胖,pàng
跑步,pǎobù
配,pèi
配合,pèihé
批评,pīpíng
批准,pīzhǔn
皮,pí
皮包,pí bāo
啤酒,píjiǔ
票价,piào jià
评价,píngjià
苹果,píngguǒ
破,pò
破坏,pòhuài
普遍,pǔbiàn
普及,pǔjí
期,qī
齐,qí
其次,qícì
其实,qíshí
奇怪,qíguài
气候,qìhòu
千万,qiānwàn
前后,qián hòu
前进,qián jìn
前面,qiánmiàn
前往,qián wǎng
强,qiáng
强大,qiáng dà
强调,qiángdiào
强烈,qiángliè
桥,qiáo
巧,qiǎo
亲,qīn
亲切,qīnqiè
亲人,qīn rén
亲自,qīnzì
情感,qíng gǎn
情况,qíngkuàng
请教,qǐngjiào
庆祝,qìngzhù
球迷,qiúmí
区,qū
区别,qūbié
取消,qǔxiāo
去世,qùshì
全场,quán chǎng
全面,quánmiàn
全球,quán qiú
缺,quē
缺点,quēdiǎn
缺少,quēshǎo
确保,quèbǎo
确定,quèdìng
确实,quèshí
裙子,qúnzi
群,qún
热爱,rè’ài
热烈,rèliè
人才,réncái
人工,réngōng
人类,rénlèi
人民,rén mín
人民币,rénmínbì
人群,rén qún
人生,rénshēng
人员,rényuán
认出,rèn chū
认得,rèn dé
认可,rènkě
任,rèn
任,rèn
任何,rènhé
任务,rènwu
仍,réng
仍然,réngrán
日常,rìcháng
容易,róngyì
如何,rúhé
散步,sànbù
沙发,shāfā
沙子,shā zi
伤,shāng
伤心,shāngxīn
商品,shāngpǐn
商业,shāngyè
上来,shàng lái
上面,shàng miàn
上去,shàng qù
上升,shàng shēng
上衣,shàng yī
设备,shèbèi
设计,shèjì
设立,shèlì
社会,shèhuì
身份证,shēn fèn zhèng
深,shēn
深刻,shēnkè
深入,shēn rù
升,shēng
生,shēng
生产,shēngchǎn
生存,shēngcún
生动,shēngdòng
生命,shēngmìng
生意,shēngyi
生长,shēngzhǎng
声明,shēngmíng
胜,shèng
胜利,shènglì
失去,shīqù
石头,shítou
石油,shíyóu
时,shí
时代,shídài
时刻,shíkè
实际上,shí jì shàng
实力,shílì
实行,shíxíng
实验,shíyàn
实验室,shí yàn shì
食品,shí pǐn
使,shǐ
始终,shǐzhōng
世纪,shìjì
世界,shìjiè
世界杯,shì jiè bēi
市场,shìchǎng
事故,shìgù
事件,shìjiàn
事实,shìshí
事实上,shì shí shàng
事业,shìyè
试题,shì tí
试验,shìyàn
适合,shìhé
适应,shìyìng
适用,shì yòng
室,shì
收费,shōu fèi
收看,shōu kàn
收听,shōu tīng
收音机,shōuyīnjī
手续,shǒuxù
手指,shǒuzhǐ
首都,shǒudū
首先,shǒuxiān
受,shòu
受伤,shòushāng
书架,shūjià
输,shū
输入,shūrù
熟人,shú rén
属,shǔ
属于,shǔyú
束,shù
数量,shùliàng
双,shuāng
双方,shuāngfāng
思想,sīxiǎng
死,sǐ
速度,sùdù
随,suí
所,suǒ
所长,suǒ zhǎng
台,tái
谈,tán
谈话,tán huà
谈判,tánpàn
汤,tāng
糖,táng
特色,tèsè
提前,tíqián
提问,tíwèn
题目,tímù
体会,tǐhuì
体现,tǐxiàn
体验,tǐyàn
天空,tiānkōng
甜,tián
调,tiáo
调整,tiáozhěng
跳,tiào
跳高,tiào gāo
跳舞,tiàowǔ
跳远,tiào yuǎn
铁,tiě
铁路,tiě lù
听力,tīng lì
听众,tīng zhòng
停止,tíng zhǐ
通常,tōngcháng
通信,tōng xìn
同意,tóngyì
痛,tòng
痛苦,tòngkǔ
头,tóu
头脑,tóu nǎo
突出,tūchū
突然,tūrán
图,tú
图画,tú huà
土,tǔ
团,tuán
团结,tuánjié
团体,tuántǐ
推动,tuī dòng
推广,tuīguǎng
推进,tuī jìn
推开,tuī kāi
退,tuì
退出,tuì chū
退休,tuìxiū
外交,wàijiāo
外面,wài miàn
外文,wài wén
完美,wánměi
完善,wánshàn
完整,wánzhěng
玩具,wánjù
往往,wǎngwǎng
危害,wēihài
危险,wēixiǎn
为,wéi
为,wèi
围,wéi
伟大,wěidà
卫生,wèi shēng
卫生间,wèishēngjiān
为了,wèile
温暖,wēnnuǎn
文化,wénhuà
文件,wénjiàn
文明,wénmíng
文学,wénxué
文章,wénzhāng
文字,wénzì
握手,wòshǒu
屋子,wūzi
武器,wǔqì
武术,wǔshù
舞台,wǔ tái
西部,xī bù
希望,xīwàng
系,xì
下来,xià lái
下面,xià miàn
下去,xià qù
先进,xiānjìn
显得,xiǎnde
显然,xiǎnrán
显示,xiǎnshì
现场,xiànchǎng
现代,xiàndài
现金,xiànjīn
现实,xiànshí
现象,xiànxiàng
线,xiàn
相比,xiāng bǐ
相当,xiāngdāng
相关,xiāngguān
相互,xiāng hù
相似,xiāngsì
香,xiāng
香蕉,xiāngjiāo
消费,xiāofèi
消失,xiāoshī
消息,xiāoxi
效果,xiàoguǒ
写作,xiězuò
血,xuè
心,xīn
信,xìn
信封,xìnfēng
信任,xìnrèn
行李,xíng lǐ
形成,xíngchéng
形式,xíngshì
形象,xíngxiàng
形状,xíngzhuàng
幸福,xìngfú
幸运,xìngyùn
性,xìng 
性别,xìngbié
性格,xìnggé
修,xiū
修改,xiūgǎi
需求,xūqiú
需要,xūyào
宣布,xuānbù
宣传,xuānchuán
选手,xuǎnshǒu
学费,xué fèi
训练,xùnliàn
压,yā
压力,yālì
烟,yān
眼前,yǎn qián
演,yǎn
演唱,yǎn chàng
演唱会,yǎn chàng huì
演出,yǎnchū
演员,yǎnyuán
羊,yáng
阳光,yángguāng
要是,yàoshi
衣架,yī jià
一切,yíqiè
已,yǐ
以来,yǐlái
一方面,yì fāng miàn
艺术,yìshù
意外,yìwài
意义,yìyì
因此,yīncǐ
银,yín
银牌,yín pái
印象,yìnxiàng
应当,yīng dāng
迎接,yíngjiē
营养,yíngyǎng
赢,yíng
影视,yǐng shì
应用,yìngyòng
优点,yōudiǎn
优势,yōushì
由,yóu
由于,yóuyú
邮件,yóu jiàn
邮票,yóu piào
邮箱,yóu xiāng
游,yóu
游戏,yóuxì
游泳,yóuyǒng
有的是,yǒu de shì
有利,yǒulì
有效,yǒu xiào
预报,yùbào
预防,yùfáng
预计,yù jì
预习,yùxí
员,yuán 
员工,yuángōng
愿望,yuànwàng
约,yuē
乐队,yuè duì
运输,yùnshū
杂志,zázhì
早已,zǎo yǐ
造,zào
造成,zàochéng
责任,zérèn
增加,zēngjiā
增长,zēng zhǎng
展开,zhǎnkāi
张,zhāng
照,zhào
者,zhě 
真实,zhēnshí
争,zhēng
争取,zhēngqǔ
整,zhěng
整个,zhěnggè
整理,zhěnglǐ
整齐,zhěngqí
整体,zhěngtǐ
整天,zhěng tiān
整整,zhěng zhěng
正,zhèng
正式,zhèngshì
证,zhèng
证件,zhèngjiàn
证据,zhèngjù
证明,zhèngmíng
支,zhī
支持,zhīchí
支付,zhī fù
只,zhī
直,zhí
直播,zhíbō
直到,zhí dào
值,zhí
值得,zhíde
职工,zhí gōng
职业,zhíyè
只好,zhǐhǎo
只是,zhǐ shì
只有,zhǐ yǒu
指,zhǐ
指出,zhǐ chū
指导,zhǐdǎo
至今,zhìjīn
至少,zhìshǎo
志愿,zhì yuàn
志愿者,zhìyuànzhě
制定,zhìdìng
制度,zhìdù
制造,zhìzào
制作,zhìzuò
中部,zhōng bù
中华民族,zhōng huá mín zú
终于,zhōngyú
钟,zhōng
种,zhǒng
种子,zhǒngzi
重大,zhòngdà
周围,zhōuwéi
猪,zhū
主持,zhǔchí
主动,zhǔdòng
主任,zhǔrèn
主意,zhǔyi
主张,zhǔzhāng
注意,zhùyì
祝,zhù
抓,zhuā
抓住,zhuā zhù
专家,zhuānjiā
专门,zhuānmén
专题,zhuāntí
专业,zhuānyè
转,zhuàn
转变,zhuǎnbiàn
状况,zhuàngkuàng
状态,zhuàngtài
追,zhuī
准,zhǔn
资格,zīgé
资金,zījīn
子女,zǐ nǚ
自从,zìcóng
自动,zìdòng
自觉,zìjué
自然,zìrán
自身,zì shēn
自主,zìzhǔ
总,zǒng
总结,zǒngjié
总是,zǒngshì
足够,zú gòu
足球,zú qiú
组合,zǔhé
左右,zuǒyòu
作品,zuòpǐn
作者,zuòzhě
阿姨,āyí
啊,a
矮,ǎi
矮小,ǎi xiǎo
爱国,ài guó
爱护,àihù
安,ān
安置,ānzhì
按时,ànshí
暗,àn
暗示,ànshì
巴士,bā shì
百货,bǎi huò
摆,bǎi
摆动,bǎi dòng
摆脱,bǎituō
败,bài
办事,bàn shì
包裹,bāoguǒ
包含,bāohán
包括,bāokuò
薄,báo
宝,bǎo
宝宝,bǎo bao
宝贝,bǎobèi
宝贵,bǎoguì
宝石,bǎo shí
保密,bǎomì
保守,bǎoshǒu
抱,bào
背景,bèijǐng
倍,bèi
被迫,bèi pò
本科,běnkē
笨,bèn
比分,bǐ fēn
毕业,bìyè
毕业生,bì yè shēng
避,bì
避免,bìmiǎn
编,biān
辩论,biànlùn
标志,biāozhì
表情,biǎoqíng
表扬,biǎoyáng
别,bié
冰,bīng
冰箱,bīngxiāng
冰雪,bīng xuě
兵,bīng
并,bìng
不要紧,búyàojǐn
不在乎,bú zài hū
不管,bùguǎn
不然,bùrán
布置,bùzhì
步行,bù xíng
擦,cā
才,cái
材料,cáiliào
财产,cáichǎn
财富,cáifù
采访,cǎifǎng
参考,cānkǎo
参与,cānyù
操场,cāochǎng
操作,cāozuò
测,cè
测量,cèliáng
测试,cè shì
曾,céng
茶叶,chá yè
产品,chǎnpǐn
长途,chángtú
常识,chángshí
唱片,chàng piàn
抄,chāo
抄写,chāo xiě
潮,cháo
潮流,cháoliú
潮湿,cháoshī
彻底,chèdǐ
沉,chén
沉默,chénmò
沉重,chénzhòng
称赞,chēngzàn
成人,chéngrén
诚实,chéngshí
诚信,chéng xìn
承担,chéngdān
承认,chéngrèn
承受,chéngshòu
程序,chéngxù
吃惊,chījīng
迟到,chídào
尺,chǐ
尺寸,chǐ cùn
尺子,chǐzi
冲,chōng
充电,chōng diàn
充电器,chōngdiànqì
充分,chōngfèn
虫子,chóng zi
抽,chōu
抽奖,chōu jiǎng
抽烟,chōuyān
出口,chūkǒu
出色,chūsè
出售,chū shòu
出席,chūxí
处于,chǔ yú
处,chǔ
穿上,chuān shàng
传统,chuántǒng
窗户,chuānghu
窗台,chuāng tái
窗子,chuāng zi
春季,chūn jì
纯,chún
纯净水,chún jìng shuǐ
词汇,cíhuì
此,cǐ
此外,cǐwài
次,cì
刺,cì
刺激,cìjī
从此,cóngcǐ
粗,cū
粗心,cūxīn
促进,cùjìn
促使,cùshǐ
促销,cù xiāo
措施,cuòshī
打,dǎ
答案,dá’àn
打败,dǎ bài
打雷,dǎ léi
打扫,dǎsǎo
打折,dǎzhé
打针,dǎzhēn
大巴,dà bā
大多,dà duō
大方,dàfang
大哥,dà gē
大规模,dà guī mó
大会,dà huì
大姐,dà jiě
大楼,dà lóu
大陆,dà lù
大妈,dà mā
大型,dàxíng
大爷,dà ye
大众,dà zhòng
代替,dàitì
待遇,dàiyù
袋,dài
戴,dài
担保,dānbǎo
担任,dānrèn
担心,dānxīn
单,dān
单纯,dānchún
单调,dāndiào
单独,dāndú
淡,dàn
导游,dǎoyóu
导致,dǎozhì
倒闭,dǎobì
倒车,dǎo chē
倒车,dào chē
得意,déyì
得,děi
灯光,dēng guāng
登,dēng
登记,dēngjì
登录,dēnglù
登山,dēng shān
的确,díquè
敌人,dírén
底,dǐ
地方,dìfang
地面,dì miàn
地位,dìwèi
地下,dì xià
地址,dìzhǐ
典型,diǎnxíng
点名,diǎn míng
电灯,diàn dēng
电动车,diàn dòng chē
电梯,diàntī
电源,diànyuán
顶,dǐng
定,dìng
冬季,dōng jì
动画片,dònghuàpiàn
动摇,dòng yáo
豆腐,dòufu
独立,dúlì
独特,dútè
独自,dú zì
堵,dǔ
堵车,dǔchē
肚子,dùzi
度过,dùguò
锻炼,duànliàn
对比,duìbǐ
对付,duìfu
对于,duìyú
多次,duō cì
多年,duō nián
多样,duō yàng
多种,duō zhǒng
恶心,ěxin
儿童,értóng
而,ér
而是,ér shì
耳机,ěr jī
二手,èr shǒu
发挥,fāhuī
发票,fāpiào
发烧,fāshāo
法,fǎ
法官,fǎ guān
法律,fǎlǜ
法院,fǎyuàn
翻,fān
翻译,fānyì
烦,fán
反,fǎn
反而,fǎn’ér
反映,fǎnyìng
方,fāng
方案,fāng’àn
方针,fāngzhēn
放松,fàngsōng
非,fēi
肥,féi
分布,fēnbù
分散,fēnsàn
分手,fēnshǒu
分为,fēn wéi
…分之…,… fēn zhī …
纷纷,fēnfēn
奋斗,fèndòu
风格,fēnggé
风景,fēngjǐng
风俗,fēngsú
封闭,fēngbì
否则,fǒuzé
夫妇,fūfù
夫妻,fū qī
夫人,fūrén
符号,fúhào
符合,fúhé
付出,fù chū
负担,fùdān
附近,fùjìn
复制,fùzhì
改善,gǎishàn
改正,gǎizhèng
盖,gài
概括,gàikuò
感兴趣,gǎnxìngqù
高潮,gāocháo
高价,gāo jià
高尚,gāoshàng
高铁,gāo tiě
格外,géwài
隔,gé
隔开,gé kāi
个别,gèbié
个体,gètǐ
各个,gè gè
根,gēn
根据,gēnjù
工程,gōng chéng
公元,gōngyuán
供应,gōng yìng
共,gòng
构成,gòuchéng
构造,gòu zào
购买,gòu mǎi
购物,gòuwù
骨头,gǔtou
固定,gùdìng
瓜,guā
怪,guài
关,guān
关闭,guānbì
关于,guānyú
官,guān
官方,guānfāng
光临,guānglín
光盘,guāngpán
逛,guàng
归,guī
规律,guīlǜ
规模,guīmó
规则,guīzé
果实,guǒshí
过分,guòfèn
海水,hǎi shuǐ
海鲜,hǎixiān
含,hán
含量,hán liàng
含义,hányì
含有,hán yǒu
寒假,hánjià
寒冷,hán lěng
行业,hángyè
航班,hángbān
航空,hángkōng
毫米,háomǐ
毫升,háo shēng
好友,hǎo yǒu
号码,hàomǎ
好,hǎo
合同,hétong
黑暗,hēi àn
红包,hóng bāo
后头,hòu tou
厚,hòu
呼吸,hūxī
忽视,hūshì
户,hù
护士,hùshi
花,huā
划,huá
划,huà
怀念,huáiniàn
怀疑,huáiyí
缓解,huǎnjiě
黄瓜,huáng guā
黄金,huángjīn
回复,huí fù
汇,huì
汇报,huìbào
汇率,huìlǜ
婚礼,hūnlǐ
火,huǒ
伙,huǒ
伙伴,huǒbàn
或许,huòxǔ
货,huò
获,huò
获得,huòdé
获奖,huò jiǎng
获取,huò qǔ
几乎,jīhū
机构,jīgòu
机遇,jīyù
积累,jīlěi
激动,jīdòng
激烈,jīliè
及格,jígé
极,jí
极其,jíqí
即将,jíjiāng
急忙,jímáng
集合,jíhé
记载,jìzǎi
纪律,jìlǜ
技巧,jìqiǎo
系,xì
季,jì
季度,jìdù
季节,jìjié
既,jì
既然,jìrán
寄,jì
加班,jiābān
加入,jiā rù
加油站,jiāyóuzhàn
家务,jiāwù
假如,jiǎrú
坚固,jiāngù
检测,jiǎn cè
减,jiǎn
减肥,jiǎnféi
减少,jiǎnshǎo
简历,jiǎnlì
健身,jiànshēn
渐渐,jiàn jiàn
江,jiāng
讲究,jiǎngjiu
讲座,jiǎngzuò
奖,jiǎng
奖金,jiǎngjīn
奖学金,jiǎng xué jīn
降,jiàng
降低,jiàngdī
降价,jiàng jià
降落,jiàngluò
降温,jiàng wēn
交换,jiāohuàn
交际,jiāojì
教授,jiàoshòu
教训,jiàoxùn
阶段,jiēduàn
街道,jiēdào
节省,jiéshěng
结,jié
结构,jiégòu
结论,jiélùn
姐妹,jiě mèi
解释,jiěshì
尽快,jǐnkuài
紧密,jǐn mì
尽力,jìnlì
进口,jìnkǒu
近代,jìndài
禁止,jìnzhǐ
经典,jīngdiǎn
精力,jīnglì
竟然,jìngrán
镜头,jìngtóu
镜子,jìngzi
究竟,jiūjìng
酒吧,jiǔbā
居民,jūmín
居住,jūzhù
局,jú
巨大,jùdà
具备,jùbèi
距离,jùlí
聚,jù
聚会,jùhuì
卷,juǎn
卷,juàn
角色,juésè
开花,kāi huā
开水,kāishuǐ
看不起,kànbuqǐ
看来,kàn lái
看望,kànwàng
考察,kǎochá
考虑,kǎolǜ
棵,kē
可见,kějiàn
空间,kōngjiān
空,kōng
口袋,kǒu dài
口语,kǒu yǔ
苦,kǔ
会计,kuàijì
快递,kuài dì
宽,kuān
宽广,kuān guǎng
矿泉水,kuàngquánshuǐ
扩大,kuòdà
扩展,kuò zhǎn
括号,kuò hào
垃圾,lā jī
拉开,lā kāi
辣,là
来不及,láibují
来得及,láidejí
来源,láiyuán
老公,lǎo gōng
老家,lǎo jiā
老婆,lǎopó
老实,lǎoshi
乐趣,lèqù
泪,lèi
泪水,lèi shuǐ
类型,lèixíng
冷静,lěngjìng
厘米,límǐ
离不开,lí bù kāi
力气,lìqi
历史,lìshǐ
立即,lìjí
利息,lìxī
利益,lìyì
俩,liǎ
良好,liánghǎo
量,liáng
粮食,liángshi
两边,liǎng biān
疗养,liáo yǎng
了不起,liǎobuqǐ
了解,liǎojiě
列,liè
列车,lièchē
列入,liè rù
列为,liè wéi
临时,línshí
零食,língshí
流传,liúchuán
楼梯,lóu tī
陆地,lùdì
陆续,lùxù
录取,lùqǔ
律师,lǜshī
轮,lún
轮船,lúnchuán
轮椅,lún yǐ
轮子,lún zi
论文,lùnwén
落,luò
毛巾,máojīn
毛衣,máo yī
帽子,màozi
没错,méi cuò
没法儿,méi fǎr
没想到,méi xiǎng dào
美金,měi jīn
美女,měi nǚ
梦,mèng
梦见,mèng jiàn
梦想,mèngxiǎng
秘密,mìmì
秘书,mìshū
密,mì
密码,mìmǎ
密切,mìqiè
免费,miǎnfèi
面临,miànlín
面试,miàn shì
描述,miáo shù
描写,miáoxiě
名牌儿,míng páir
名片,míngpiàn
名人,míng rén
摸,mō
模特儿,mó tèr
模型,móxíng
末,mò
默默,mòmò
哪怕,nǎpà
哪,nǎ
男女,nán nǚ
男士,nán shì
难免,nánmiǎn
脑袋,nǎodai
闹,nào
闹钟,nào zhōng
内部,nèibù
内科,nèikē
能干,nénggàn
宁静,níng jìng
浓,nóng
女士,nǚshì
暖气,nuǎn qì
拍照,pāi zhào
排列,páiliè
牌,pái
盘,pán
盘子,pánzi
胖子,pàng zi
培训,péixùn
培训班,péi xùn bān
培养,péiyǎng
培育,péiyù
批,pī
批,pī
片面,piànmiàn
品质,pǐnzhì
平方,píngfāng
平静,píngjìng
平均,píngjūn
平稳,píng wěn
迫切,pòqiè
破产,pòchǎn
妻子,qīzi
期待,qīdài
期间,qījiān
期末,qī mò
期限,qīxiàn
期中,qī zhōng
其余,qíyú
企业,qǐyè
气球,qì qiú
汽水,qì shuǐ
汽油,qìyóu
器官,qìguān
前头,qián tou
前途,qiántú
浅,qiǎn
巧克力,qiǎokèlì
切,qiē
亲爱,qīn’ài
亲密,qīnmì
青春,qīngchūn
轻松,qīngsōng
轻易,qīngyì
清醒,qīngxǐng
情景,qíngjǐng
穷,qióng
穷人,qióng rén
秋季,qiū jì
趋势,qūshì
圈,quān
权利,quánlì
却,què
确认,quèrèn
然而,rán’ér
燃料,rán liào
燃烧,ránshāo
热闹,rènao
热心,rèxīn
人家,rénjiā
日记,rìjì
日历,rìlì
如今,rújīn
弱,ruò
伞,sǎn
散,sàn
扫,sǎo
色,sè
色彩,sècǎi
森林,sēnlín
晒,shài
闪,shǎn
闪电,shǎndiàn
善良,shànliáng
善于,shànyú
伤害,shānghài
商务,shāngwù
赏,shǎng
上个月,shàng gè yuè
上楼,shàng lóu
上门,shàng mén
烧,shāo
设施,shèshī
设置,shèzhì
申请,shēnqǐng
身材,shēncái
身份,shēnfèn
身高,shēn gāo
深厚,shēn hòu
神话,shénhuà
神秘,shénmì
甚至,shènzhì
失败,shībài
失望,shīwàng
失业,shīyè
诗,shī
诗人,shī rén
湿,shī
实施,shíshī
实用,shíyòng
食堂,shí táng
使劲,shǐ jìn
士兵,shìbīng
市区,shì qū
似的,shìde
事物,shìwù
事先,shìxiān
试卷,shìjuàn
是否,shìfǒu
收回,shōu huí
收获,shōuhuò
收益,shōuyì
手工,shǒugōng
手里,shǒu lǐ
手术,shǒushù
手套,shǒutào
守,shǒu
首,shǒu
受不了,shòubuliǎo
售货员,shòuhuòyuán
叔叔,shūshu
舒适,shūshì
熟练,shúliàn
暑假,shǔ jià
树林,shù lín
树叶,shù yè
数据,shùjù
数码,shùmǎ
刷,shuā
刷牙,shuāyá
刷子,shuā zi
帅,shuài
帅哥,shuài gē
率先,shuài xiān
睡着,shuì zháo
顺序,shùnxù
说不定,shuōbudìng
说服,shuōfú
思考,sīkǎo
似乎,sìhū
松,sōng
松树,sōng shù
塑料,sù liào
塑料袋,sùliàodài
酸,suān
酸奶,suān nǎi
随手,suíshǒu
孙女,sūn nǚ
孙子,sūnzi
缩短,suōduǎn
缩小,suō xiǎo
台阶,táijiē
台上,tái shàng
躺,tǎng
套餐,tào cān
特价,tè jià
特殊,tèshū
特征,tèzhēng
提供,tígōng
提醒,tíxǐng
体操,tǐ cāo
体检,tǐ jiǎn
体重,tǐ zhòng
替,tì
替代,tì dài
天真,tiānzhēn
填,tián
填空,tiánkòng
挑,tiāo
挑选,tiāo xuǎn
调皮,tiáopí
挑,tiǎo
挑战,tiǎozhàn
贴,tiē
停下,tíng xià
挺,tǐng
通知书,tōng zhī shū
同情,tóngqíng
童话,tónghuà
童年,tóng nián
统计,tǒngjì
统一,tǒngyī
痛快,tòngkuài
投,tóu
投入,tóurù
投诉,tóusù
投资,tóuzī
透,tòu
透明,tòumíng
图案,tú’àn
途中,tú zhōng
土地,tǔdì
推迟,tuīchí
推销,tuīxiāo
脱,tuō
袜子,wàzi
外汇,wài huì
外交官,wài jiāo guān
外套,wài tào
弯,wān
晚点,wǎn diǎn
万一,wànyī
王,wáng
网络,wǎngluò
网址,wǎng zhǐ
微笑,wēixiào
微信,wēi xìn
围巾,wéijīn
维持,wéichí
维护,wéihù
维修,wéixiū
尾巴,wěiba
未必,wèibì
未来,wèilái
位于,wèiyú
位置,wèizhì
味儿,wèir
喂,wèi
稳,wěn
稳定,wěndìng
问候,wènhòu
无,wú
无法,wú fǎ
无聊,wúliáo
无论,wúlùn
无数,wúshù
无所谓,wúsuǒwèi
无限,wú xiàn
五颜六色,wǔ yán liù sè
误会,wùhuì
西瓜,xīguā
吸,xī
吸管,xī guǎn
吸收,xīshōu
吸烟,xī yān
吸引,xīyǐn
喜爱,xǐ ài
系列,xìliè
系统,xìtǒng
细,xì
细节,xìjié
细致,xìzhì
下个月,xià gè yuè
下降,xià jiàng
下楼,xià lóu
下载,xiàzài
夏季,xià jì
鲜,xiān
鲜花,xiān huā
鲜明,xiānmíng
咸,xián
显著,xiǎnzhù
县,xiàn
限制,xiànzhì
相处,xiāngchǔ
相反,xiāngfǎn
箱,xiāng
箱子,xiāng zi
想念,xiǎngniàn
想象,xiǎngxiàng
项,xiàng
项目,xiàngmù
相片,xiàng piàn
消化,xiāohuà
销售,xiāoshòu
小吃,xiǎochī
小伙子,xiǎohuǒzi
小型,xiǎo xíng
效率,xiàolǜ
些,xiē
心理,xīnlǐ
新郎,xīnláng
新娘,xīnniáng
新鲜,xīnxiān
新型,xīn xíng
兴奋,xīngfèn
形容,xíngróng
形势,xíngshì
型,xíng
型号,xíng hào
醒,xǐng
兴趣,xìng qù
性质,xìngzhì
兄弟,xiōngdì
胸部,xiōng bù
修理,xiūlǐ
选择,xuǎnzé
学分,xué fēn
学年,xué nián
学时,xué shí
学术,xuéshù
学问,xuéwen
寻找,xúnzhǎo
迅速,xùnsù
牙,yá
牙刷,yá shuā
亚运会,yà yùn huì
呀,ya
延长,yáncháng
延期,yánqī
延续,yánxù
严,yán
严格,yángé
严重,yánzhòng
研究,yánjiū
